,open,high,low,close,volume,value
2022-11-23 14:00:00,22891000.0,22897000.0,22789000.0,22795000.0,232.9724987,5320852824.19093
2022-11-23 15:00:00,22799000.0,22854000.0,22750000.0,22848000.0,139.01440363,3169445019.76217
2022-11-23 16:00:00,22848000.0,23001000.0,22785000.0,22920000.0,184.76127194,4226943368.00629
2022-11-23 17:00:00,22916000.0,22973000.0,22850000.0,22911000.0,155.08984103,3552230703.55187
2022-11-23 18:00:00,22933000.0,23020000.0,22901000.0,22996000.0,145.72209362,3347010077.93951
2022-11-23 19:00:00,22996000.0,23100000.0,22975000.0,23058000.0,378.24955305,8711470926.96287
2022-11-23 20:00:00,23055000.0,23121000.0,23017000.0,23064000.0,223.40783,5153811535.4472
2022-11-23 21:00:00,23064000.0,23080000.0,22923000.0,22962000.0,197.36309474,4541545365.38724
2022-11-23 22:00:00,22962000.0,23014000.0,22816000.0,22817000.0,215.43862104,4941571768.95353
2022-11-23 23:00:00,22817000.0,22944000.0,22793000.0,22917000.0,179.09161787,4094447287.28602
2022-11-24 00:00:00,22917000.0,22963000.0,22864000.0,22894000.0,159.70803929,3660523003.51172
2022-11-24 01:00:00,22894000.0,22955000.0,22731000.0,22755000.0,138.18645095,3158963434.09686
2022-11-24 02:00:00,22754000.0,22816000.0,22734000.0,22764000.0,89.63284408,2040646351.5537
2022-11-24 03:00:00,22781000.0,22996000.0,22745000.0,22951000.0,67.68444555,1546615308.81183
2022-11-24 04:00:00,22952000.0,23100000.0,22780000.0,22880000.0,128.29633878,2942611821.10537
2022-11-24 05:00:00,22880000.0,23058000.0,22830000.0,23029000.0,63.99927329,1466896706.29044
2022-11-24 06:00:00,23060000.0,23060000.0,22898000.0,22900000.0,80.68062787,1850815830.89724
2022-11-24 07:00:00,22917000.0,22950000.0,22864000.0,22886000.0,122.95860769,2815922193.17053
2022-11-24 08:00:00,22911000.0,23060000.0,22886000.0,22985000.0,137.57004926,3158426157.82707
2022-11-24 09:00:00,22985000.0,23037000.0,22880000.0,22935000.0,215.40085732,4942558216.4633
2022-11-24 10:00:00,22927000.0,23190000.0,22926000.0,23168000.0,323.57983794,7465431735.46399
2022-11-24 11:00:00,23152000.0,23220000.0,23078000.0,23079000.0,337.55911035,7820138605.92206
2022-11-24 12:00:00,23079000.0,23123000.0,23019000.0,23021000.0,180.24584351,4159810832.4799
2022-11-24 13:00:00,23028000.0,23113000.0,22970000.0,22989000.0,227.64238879,5243500484.48072
2022-11-24 14:00:00,22989000.0,23001000.0,22914000.0,22972000.0,160.88905344,3694221062.53861
2022-11-24 15:00:00,22972000.0,23033000.0,22934000.0,22993000.0,107.99543786,2483621261.67755
2022-11-24 16:00:00,23007000.0,23009000.0,22866000.0,22866000.0,144.19885636,3308682295.95057
2022-11-24 17:00:00,22866000.0,22917000.0,22713000.0,22838000.0,318.58266972,7259203718.12979
2022-11-24 18:00:00,22838000.0,22861000.0,22793000.0,22846000.0,107.15708072,2446304002.48933
2022-11-24 19:00:00,22859000.0,22869000.0,22566000.0,22666000.0,529.6501471,12012090555.97279
2022-11-24 20:00:00,22672000.0,22750000.0,22600000.0,22749000.0,295.57448584,6696986858.11915
2022-11-24 21:00:00,22749000.0,22750000.0,22637000.0,22690000.0,211.13402668,4788402584.1716
2022-11-24 22:00:00,22690000.0,22756000.0,22672000.0,22751000.0,97.778899,2220425931.19974
2022-11-24 23:00:00,22751000.0,22757000.0,22624000.0,22685000.0,145.63546606,3302736152.70604
2022-11-25 00:00:00,22685000.0,22743000.0,22640000.0,22729000.0,135.19943045,3067570521.36974
2022-11-25 01:00:00,22729000.0,22841000.0,22701000.0,22815000.0,124.07232049,2825275103.53351
2022-11-25 02:00:00,22822000.0,22838000.0,22744000.0,22744000.0,84.92708563,1934114707.43135
2022-11-25 03:00:00,22744000.0,22761000.0,22688000.0,22713000.0,108.00920357,2453986158.64152
2022-11-25 04:00:00,22715000.0,22717000.0,22675000.0,22690000.0,39.51662965,896791403.97223
2022-11-25 05:00:00,22690000.0,22741000.0,22685000.0,22687000.0,29.85203428,677804694.77947
2022-11-25 06:00:00,22687000.0,22730000.0,22671000.0,22720000.0,37.07913873,841477813.8156
2022-11-25 07:00:00,22704000.0,22778000.0,22691000.0,22744000.0,79.59697911,1809254880.09274
2022-11-25 08:00:00,22744000.0,22784000.0,22702000.0,22738000.0,110.42356134,2510416726.64297
2022-11-25 09:00:00,22735000.0,22794000.0,22667000.0,22682000.0,162.0834539,3681618308.49313
2022-11-25 10:00:00,22684000.0,22703000.0,22653000.0,22660000.0,116.19002268,2634315107.24343
